functionName,momentum,elapsedTime,numCalls
__SinusoidalDrivingTerm,-1.8325957145940461,25.985154982074164,71853227
__ClassicallyDrivenSSHEquations,-1.8325957145940461,127.49992816802114,17963306
__CalculateSingleTimeCorrelations,-1.8325957145940461,9.20605116605293,1
__CalculateSteadyStateMask,-1.8325957145940461,0.00017737504094839096,4
__CalculateSingleTimeFourierSeries,-1.8325957145940461,0.0006217500194907188,1
__CalculateDoubleTimeInitialConditions,-1.8325957145940461,8.054100908339024e-05,1
__CalculateDoubleTimeInhomogeousParts,-1.8325957145940461,1.691700890660286e-05,1
__CalculateDoubleTimeCorrelations,-1.8325957145940461,207.13629583304282,1
SolveCorrelations,-1.8325957145940461,216.34303479199298,1
__CalculateCurrentExpectation,-1.8325957145940461,0.001986999996006489,1
__CalculateCurrentFourier,-1.8325957145940461,0.0005657090805470943,1
